drug_name,occurrences_in_pairs,distinct_ddinter_ids,ddinter_ids
Acalabrutinib,462,1,DDInter9
Pirbuterol,457,1,DDInter1476
Daunorubicin (liposomal),453,1,DDInter486
Loperamide,452,1,DDInter1088
Daunorubicin,452,1,DDInter485
Eribulin,452,1,DDInter666
Idarubicin,450,1,DDInter904
Pioglitazone,445,1,DDInter1472
Infliximab,444,1,DDInter923
Deferiprone,443,1,DDInter489
Dolasetron,442,1,DDInter581
Toremifene,442,1,DDInter1837
Apixaban,442,1,DDInter108
Mannitol,441,1,DDInter1123
Granisetron,440,1,DDInter840
Magnesium carbonate,438,1,DDInter1113
Linagliptin,437,1,DDInter1070
Tioguanine,437,1,DDInter1814
Ibrutinib,437,1,DDInter899
Opium,435,1,DDInter1344
Olodaterol,434,1,DDInter1331
Certolizumab pegol,432,1,DDInter342
Iohexol,432,1,DDInter960
Iopamidol,432,1,DDInter961
Ondansetron,431,1,DDInter1342
Rivaroxaban,431,1,DDInter1609
Adalimumab,430,1,DDInter27
Upadacitinib,430,1,DDInter1901
Insulin aspart (aspart protamine),429,1,DDInter928
Insulin lispro (protamine),429,1,DDInter941
Etanercept,429,1,DDInter687
Golimumab,429,1,DDInter837
Bortezomib,426,1,DDInter222
Dronabinol,423,1,DDInter601
Naltrexone,420,1,DDInter1263
Terfenadine,420,1,DDInter1770
Ephedrine,419,1,DDInter650
Insulin human,419,1,DDInter934
Primaquine,419,1,DDInter1520
Niraparib,419,1,DDInter1297
Rosiglitazone,417,1,DDInter1621
Cisplatin,414,1,DDInter387
Bicalutamide,411,1,DDInter204
Cisapride,409,1,DDInter385
Metoclopramide,408,1,DDInter1197
Docetaxel,408,1,DDInter578
Simvastatin,407,1,DDInter1675
Fenfluramine,406,1,DDInter717
Cladribine,405,1,DDInter392
Clozapine,404,1,DDInter419
Astemizole,400,1,DDInter128
Tinidazole,399,1,DDInter1811
Brimonidine (ophthalmic),399,1,DDInter235
Brimonidine (topical),399,1,DDInter236
Tetracosactide,398,1,DDInter1782
Halofantrine,398,1,DDInter852
Vinblastine,397,1,DDInter1936
Ustekinumab,396,1,DDInter1907
Sitagliptin,395,1,DDInter1679
Ruxolitinib,394,1,DDInter1628
Famotidine,393,1,DDInter712
Corticotropin,393,1,DDInter445
Vinorelbine,392,1,DDInter1939
Magnesium sulfate,391,1,DDInter1120
Eliglustat,391,1,DDInter629
Inotuzumab ozogamicin,388,1,DDInter927
Acarbose,381,1,DDInter11
Vincristine,381,1,DDInter1937
Theophylline,380,1,DDInter1791
Vandetanib,379,1,DDInter1917
Baricitinib,379,1,DDInter165
Palonosetron,377,1,DDInter1382
Nabilone,376,1,DDInter1253
Phenytoin,374,1,DDInter1460
Alpelisib,373,1,DDInter53
Paclitaxel,372,1,DDInter1377
Mercaptopurine,372,1,DDInter1156
Goserelin,371,1,DDInter839
Triptorelin,371,1,DDInter1880
Chlorpheniramine,371,1,DDInter362
Pramlintide,370,1,DDInter1506
Histrelin,369,1,DDInter864
Leuprolide,369,1,DDInter1042
Anakinra,369,1,DDInter94
Rilonacept,369,1,DDInter1594
Oxytocin,368,1,DDInter1375
Alefacept,368,1,DDInter40
Zafirlukast,368,1,DDInter1955
Canakinumab,366,1,DDInter281
Ciprofloxacin,365,1,DDInter384
Alogliptin,365,1,DDInter51
