snapshot_date,record_type,atc_code,atc_name,ddd,uom,adm_r,note,brand_name,dosage_form,ingredients,ddd_comb
2021-12-03,main,A02BA51,"cimetidine, combinations",,,,,,,,
2021-12-03,main,A02BA53,"famotidine, combinations",,,,,,,,
2021-12-03,main,A02BB,Prostaglandins,,,,,,,,
2021-12-03,main,A02BB01,misoprostol,0.8,mg,O,,,,,
2021-12-03,main,A02BB02,enprostil,70.0,mcg,O,,,,,
2021-12-03,main,A02BC,Proton pump inhibitors,,,,,,,,
2021-12-03,main,A02BC01,omeprazole,20.0,mg,O,,,,,
2021-12-03,main,A02BC01,omeprazole,20.0,mg,P,,,,,
2021-12-03,main,A02BC02,pantoprazole,40.0,mg,O,,,,,
2021-12-03,main,A02BC02,pantoprazole,40.0,mg,P,,,,,
2021-12-03,main,A02BC03,lansoprazole,30.0,mg,O,,,,,
2021-12-03,main,A02BC04,rabeprazole,20.0,mg,O,,,,,
2021-12-03,main,A02BC05,esomeprazole,30.0,mg,O,,,,,
2021-12-03,main,A02BC05,esomeprazole,30.0,mg,P,,,,,
2021-12-03,main,A02BC06,dexlansoprazole,30.0,mg,O,,,,,
2021-12-03,main,A02BC07,dexrabeprazole,,,,,,,,
2021-12-03,main,A02BC08,vonoprazan,,,,,,,,
2021-12-03,main,A02BC53,"lansoprazole, combinations",,,,,,,,
2021-12-03,main,A02BC54,"rabeprazole, combinations",,,,,,,,
2021-12-03,main,A02BD,Combinations for eradication of Helicobacter pylori,,,,,,,,
2021-12-03,main,A02BD01,"omeprazole, amoxicillin and metronidazole",,,,,,,,
2021-12-03,main,A02BD02,"lansoprazole, tetracycline and metronidazole",,,,,,,,
2021-12-03,main,A02BD03,"lansoprazole, amoxicillin and metronidazole",,,,,,,,
2021-12-03,main,A02BD04,"pantoprazole, amoxicillin and clarithromycin",,,,,,,,
2021-12-03,main,A02BD05,"omeprazole, amoxicillin and clarithromycin",,,,,,,,
2021-12-03,main,A02BD06,"esomeprazole, amoxicillin and clarithromycin",,,,,,,,
2021-12-03,main,A02BD07,"lansoprazole, amoxicillin and clarithromycin",,,,,,,,
2021-12-03,main,A02BD08,"bismuth subcitrate, tetracycline and metronidazole",,,,,,,,
2021-12-03,main,A02BD09,"lansoprazole, clarithromycin and tinidazole",,,,,,,,
2021-12-03,main,A02BD10,"lansoprazole, amoxicillin and levofloxacin",,,,,,,,
2021-12-03,main,A02BD11,"pantoprazole, amoxicillin, clarithromycin and metronidazole",,,,,,,,
2021-12-03,main,A02BD12,"rabeprazole, amoxicillin and clarithromycin",,,,,,,,
