nhi_code,tfda_permit_no,input_text,ocr_text,confidence,status,review_notes
A009931221,衛署藥製字第009931號,TRIAMCINOLONE (ACETONIDE) 10 MG/ML,TRIAMCINOLONE ACETONIDE,0,pending,NHI ingredients: TRIAMCINOLONE (ACETONIDE) 10 MG/ML; TFDA ingredients: TRIAMCINOLONE ACETONIDE
A009939212,衛署藥製字第009939號,TRIAMCINOLONE (ACETONIDE) 40 MG/ML,TRIAMCINOLONE ACETONIDE,0,pending,NHI ingredients: TRIAMCINOLONE (ACETONIDE) 40 MG/ML; TFDA ingredients: TRIAMCINOLONE ACETONIDE
A009939221,衛署藥製字第009939號,TRIAMCINOLONE (ACETONIDE) 40 MG/ML,TRIAMCINOLONE ACETONIDE,0,pending,NHI ingredients: TRIAMCINOLONE (ACETONIDE) 40 MG/ML; TFDA ingredients: TRIAMCINOLONE ACETONIDE
A009947321,衛署藥製字第009947號,ERYTHROMYCIN BASE 10 MG/GM,ERYTHROMYCIN,0,pending,NHI ingredients: ERYTHROMYCIN BASE 10 MG/GM; TFDA ingredients: ERYTHROMYCIN
A010069265,衛署藥製字第010069號,LACTIC ACID .24 ML+CALCIUM CHLORIDE .03 GM+POTASSIUM CHLORIDE .04 GM+SODIUM CHLORIDE .6 GM+SODIUM HYDROXIDE .12 GM,SODIUM CHLORIDE ;; SODIUM LACTATE SOLUTION ;; POTASSIUM CHLORIDE ;; CALCIUM CHLORIDE,0.5,pending,NHI ingredients: LACTIC ACID .24 ML+CALCIUM CHLORIDE .03 GM+POTASSIUM CHLORIDE .04 GM+SODIUM CHLORIDE .6 GM+SODIUM HYDROXIDE .12 GM; TFDA ingredients: SODIUM CHLORIDE ;; SODIUM LACTATE SOLUTION ;; POTASSIUM CHLORIDE ;; CALCIUM CHLORIDE
A010079100,衛署藥製字第010079號,CARBETAPENTANE CITRATE 25 MG,CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate),0.5,pending,NHI ingredients: CARBETAPENTANE CITRATE 25 MG; TFDA ingredients: CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate)
A010102100,衛署藥製字第010102號,AMOXYCILLIN (TRIHYDRATE) 250 MG,AMOXICILLIN (TRIHYDRATE),0,pending,NHI ingredients: AMOXYCILLIN (TRIHYDRATE) 250 MG; TFDA ingredients: AMOXICILLIN (TRIHYDRATE)
A010116100,衛署藥製字第010116號,CARBETAPENTANE CITRATE 30 MG,CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate),0.5,pending,NHI ingredients: CARBETAPENTANE CITRATE 30 MG; TFDA ingredients: CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate)
A010162100,衛署藥製字第010162號,AMOXYCILLIN (TRIHYDRATE) 250 MG,AMOXICILLIN (TRIHYDRATE),0,pending,NHI ingredients: AMOXYCILLIN (TRIHYDRATE) 250 MG; TFDA ingredients: AMOXICILLIN (TRIHYDRATE)
A010199110,衛署藥製字第010199號,ERYTHROMYCIN ESTOLATE 25 MG/ML,ERYTHROMYCIN (ESTOLATE),0.5,pending,NHI ingredients: ERYTHROMYCIN ESTOLATE 25 MG/ML; TFDA ingredients: ERYTHROMYCIN (ESTOLATE)
